Product_Name                                                                  , Issuer            , Exchange               , Issuance_Date, Scale_Billion_Yuan, Underlying_Asset_Type, Asset_Category , Status, Third_Party_Certification, Lead_Underwriter, Special_Features               , Credit_Rating
中信证券-万国数据2025年第1期数据中心持有型不动产资产支持专项计划（可持续挂钩）, 万国数据          , Shanghai Stock Exchange, 2025-04      , 16.092            , 数据中心资产         , 持有型不动产ABS, 已上市, 可持续挂钩认证           , 中信证券        , 全国首单数据中心持有型不动产ABS, N/A
建信住房租赁基金持有型不动产资产支持专项计划                                  , 建信住房租赁基金  , Shanghai Stock Exchange, 2024         , N/A               , 住房租赁资产         , 持有型不动产ABS, 在审  , N/A                      , N/A             , 住房租赁领域                   , N/A
华泰-中交路建清西大桥持有型不动产资产支持专项计划                             , 中交路建          , Shanghai Stock Exchange, 2023-12-25   , N/A               , 基础设施不动产       , 持有型不动产ABS, 已发行, N/A                      , 华泰证券        , 首只持有型REITs产品            , N/A
兴业-广州地铁收费权绿色资产支持专项计划                                       , 广州地铁          , Shanghai Stock Exchange, 2017-08-11   , 50                , 地铁收费权           , 绿色ABS        , 已发行, 绿色认证                 , 兴业证券        , 绿色轨道交通                   , N/A
开源-北京地铁票款收费权1号绿色资产支持专项计划                                , 北京地铁          , Shanghai Stock Exchange, 2019-06-18   , 30                , 地铁票款收费权       , 绿色ABS        , 已发行, 绿色认证                 , 开源证券        , 绿色基础设施                   , N/A
平安-漳州长运公交经营收费收益权绿色资产支持专项计划                           , 漳州长运          , Shanghai Stock Exchange, 2018-07-20   , 3.5               , 公交经营收费权       , 绿色ABS        , 已发行, 绿色认证                 , 平安证券        , 公共交通绿色项目               , N/A
平安-贵阳公交经营收费收益权绿色资产支持专项计划                               , 贵阳公交          , Shanghai Stock Exchange, 2017-03-24   , 26.5              , 基础设施收费         , 绿色ABS        , 已发行, 北京中财绿融             , 平安证券        , 公交绿色项目                   , N/A
无锡交通产业集团公交经营收费收益权资产支持专项计划                            , 无锡交通          , Shanghai Stock Exchange, 2016-09-28   , 19.8              , 公交经营收费收益权   , 绿色ABS        , 已发行, 中节能咨询               , 中山证券        , 首单非上市公司绿色ABS          , N/A
中投证券-武汉地铁信托受益权一期绿色资产支持专项计划                           , 武汉地铁          , Shanghai Stock Exchange, 2017-07-18   , 15                , 信托受益权           , 绿色ABS        , 已发行, N/A                      , 中投证券        , 全国首单轨道交通绿色ABS        , N/A
中国中投证券-南京地铁信托受益权一期绿色资产支持专项计划                       , 南京地铁          , Shanghai Stock Exchange, 2018-05-18   , 12                , 信托受益权           , 绿色ABS        , 已发行, 联合赤道                 , 中投证券        , 轨道交通建设                   , N/A
农银穗盈-金风科技风电收费收益权绿色资产支持专项计划                           , 新疆金风科技      , Shanghai Stock Exchange, 2016-08-03   , 12.75             , 风电收费收益权       , 绿色ABS        , 已发行, 挪威船级社(DNV GL)       , 农银汇理        , 首单绿色资产支持证券           , N/A
中信建投-中节能太阳能八期绿色资产支持专项计划                                 , 中节能太阳能      , Shanghai Stock Exchange, 2019-03-29   , 10                , 太阳能发电收费权     , 绿色ABS        , 已发行, 绿色认证                 , 中信建投        , 清洁能源项目                   , N/A
华泰资管-葛洲坝水电上网收费权绿色资产支持专项计划                             , 中国葛洲坝        , Shanghai Stock Exchange, 2016-11-22   , 8                 , 水电上网收费权       , 绿色ABS        , 已发行, 北京中财绿融             , 华泰证券        , 水电站再融资                   , N/A
西江股份电力上网收费权绿色资产支持专项计划                                    , 西江股份          , Shanghai Stock Exchange, 2019-02-27   , 7                 , 水电电力上网收费权   , 绿色ABS        , 已发行, 东方金诚                 , N/A             , 水电收费权                     , N/A
中银-融达二期绿色资产支持专项计划                                             , 中国银河          , Shanghai Stock Exchange, 2018-11-09   , 20                , 污水处理收费权       , 绿色ABS        , 已发行, 绿色认证                 , 中银证券        , 环保水务项目                   , N/A
中信建投-首创水务绿色资产支持专项计划                                         , 首创水务          , Shanghai Stock Exchange, 2017-12-08   , 5                 , 污水处理收费权       , 绿色ABS        , 已发行, 绿色认证                 , 中信建投        , 水务环保项目                   , N/A
南通市经济技术开发区污水处理收费收益权绿色资产支持专项计划                    , 南通开发区        , Shanghai Stock Exchange, 2017-09-15   , 5.1               , 污水处理收费收益权   , 绿色ABS        , 已发行, 北京中财绿融             , 东吴证券        , 江苏省首单污水处理收费权绿色ABS, N/A
渤海汇金-康达环保污水处理项目绿色资产支持专项计划                             , 重庆康达环保      , Shanghai Stock Exchange, 2018-08-10   , 3.6               , 污水处理费收费收益权 , 绿色ABS        , 已发行, 中诚信                   , 渤海汇金        , 重庆市首单绿色认证ABS          , N/A
华能-民生-鸿山热电电费收费权绿色资产支持专项计划                              , 华能鸿山热电      , Shanghai Stock Exchange, 2019-01-25   , 3.89              , 电费收费权           , 绿色ABS        , 已发行, 绿色认证                 , 民生证券        , 清洁供热项目                   , N/A
华能-安信-宿迁生物质热电绿色资产支持专项计划                                  , 华能宿迁生物质热电, Shanghai Stock Exchange, 2017-06-23   , 2.5               , 生物质发电收费权     , 绿色ABS        , 已发行, 绿色认证                 , 安信证券        , 生物质能源项目                 , N/A
广发-广晟东江环保绿色资产支持专项计划                                         , 广晟东江环保      , Shanghai Stock Exchange, 2016-12-28   , 3.2               , 危废处理收费权       , 绿色ABS        , 已发行, 绿色认证                 , 广发证券        , 危废处理环保项目               , N/A
德邦-海通恒信车融租赁绿色资产支持专项计划                                     , 海通恒信          , Shanghai Stock Exchange, 2018-08-31   , 4.93              , 融资租赁债权         , 绿色ABS        , 已发行, 绿色认证                 , 德邦证券        , 绿色交通设备租赁               , N/A
国联华光供热收益权绿色资产支持专项计划                                        , 无锡华光锅炉      , Shanghai Stock Exchange, 2018-07-27   , 2.65              , 供热收费收益权       , 绿色ABS        , 已发行, N/A                      , 国联证券        , 绿色产业项目建设运营           , N/A
中国中投证券-国富保理-首创股份1期绿色供应链金融资产支持专项计划               , 首创股份          , Shanghai Stock Exchange, 2019-06-06   , 0.96              , 应收账款债权         , 绿色ABS        , 已发行, 绿色认证                 , 中投证券        , 绿色供应链金融                 , N/A